outcome,predictor,beta_coefficient,ci_lower,ci_upper,p_value,regression_type,p_gt_0.2
Mortality post 28 Day Discharge,Female,-14.519709176847252,-3956.103286825012,3927.0638684713176,0.9942393491018934,logistic,True
Mortality post 28 Day Discharge,Height,0.2325137726910184,-0.2144235141603528,0.6794510595423896,0.3078955274428279,logistic,True
Mortality post 28 Day Discharge,Weight,0.07001447529966531,-0.12457380787074401,0.26460275847007464,0.48067876982014424,logistic,True
Mortality post 28 Day Discharge,VIM,-11.598644593527835,-1383.961239053699,1360.7639498666435,0.986783798230676,logistic,True
Mortality post 28 Day Discharge,NDM,16.202071508968313,-4554.311966637404,4586.716109655341,0.9944564220864002,logistic,True
Mortality post 28 Day Discharge,P/C in vitro,-11.598644593529915,-1383.961239055131,1360.763949868071,0.9867837982306874,logistic,True
Mortality post 28 Day Discharge,Z-A invitro,2.197120687050239,-1.2598927649926837,5.654134139093161,0.21288775296364393,logistic,True
Mortality post 28 Day Discharge,CKD,12.114528228320246,-252.68289723291394,276.9119536895544,0.9285504951600916,logistic,True
Mortality post 28 Day Discharge,HTN,-0.847419958092714,-3.931615388368367,2.236775472182939,0.5902154887637302,logistic,True
Mortality post 28 Day Discharge,DM,1.3862988658732516,-1.7892084077761956,4.561806139522699,0.39219610022095264,logistic,True
Mortality post 28 Day Discharge,COPD,-11.598644593529748,-1383.9612390550164,1360.7639498679569,0.9867837982306865,logistic,True
Mortality post 28 Day Discharge,Hypothyroidism,2.197120687050239,-1.259892764992684,5.654134139093162,0.21288775296364404,logistic,True
Mortality post 28 Day Discharge,UTI.CRO,-14.519709176847412,-3956.1032868253264,3927.063868471632,0.9942393491018938,logistic,True
Mortality post 28 Day Discharge,IAI.CRO,-11.598644593529821,-1383.9612390550662,1360.7639498680066,0.9867837982306868,logistic,True
Mortality post 28 Day Discharge,HAP.CRO,1.3862988658732518,-1.7892084077761958,4.5618061395227,0.39219610022095264,logistic,True
Mortality post 28 Day Discharge,VAP.CRO,-14.569786918904505,-3101.3561814207696,3072.216607582961,0.9926187726757828,logistic,True
Mortality post 28 Day Discharge,CAP.CRO,12.11452822832026,-252.68289723291392,276.9119536895544,0.9285504951600916,logistic,True
Mortality post 28 Day Discharge,BSI.CRO,-11.598644593529816,-1383.9612390550628,1360.7639498680032,0.9867837982306868,logistic,True
Mortality post 28 Day Discharge,Other.CRO,-11.598644593529748,-1383.9612390550164,1360.7639498679569,0.9867837982306865,logistic,True
Mortality post 28 Day Discharge,Hospitalization in past 6 Months,0.405498626932926,-2.641359801752436,3.4523570556182883,0.7942107956363081,logistic,True
Mortality post 28 Day Discharge,CV Catheter in 6 Months,-11.598644593529915,-1383.961239055131,1360.763949868071,0.9867837982306874,logistic,True
Mortality post 28 Day Discharge,Urinary Catheter in 6 Months,-11.598644593529915,-1383.961239055131,1360.763949868071,0.9867837982306874,logistic,True
Mortality post 28 Day Discharge,Surgery in last 3 Months,0.8473033965481216,-2.2368715509455805,3.9314783440418237,0.590264145872145,logistic,True
Mortality post 28 Day Discharge,Past CREPA infection,29.036519373172833,-6950.0148601721685,7008.087898918515,0.9934937387199674,logistic,True
Mortality post 28 Day Discharge,Endoscopy in 1 week,12.114528228320246,-252.68289723291394,276.9119536895544,0.9285504951600916,logistic,True
Mortality post 28 Day Discharge,Immunosuppressive drugs in 1 week,-14.979967166110892,-2495.8375311658524,2465.877596833631,0.9905574988634436,logistic,True
Mortality post 28 Day Discharge,Inotropes ,16.202071508243947,-4554.311961119399,4586.716104135886,0.9944564220799544,logistic,True
Mortality post 28 Day Discharge,Ventilation,-0.8474199580926964,-3.931615388368348,2.2367754721829556,0.5902154887637376,logistic,True
Mortality post 28 Day Discharge,Overall organ support,13.458624073466204,-2305.2845533328905,2332.2018014798227,0.9909233247247322,logistic,True
Mortality post 28 Day Discharge,Neutropenia,-14.519709176847497,-3956.103286825495,3927.0638684718006,0.994239349101894,logistic,True
